Structure [idcode]	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	Smiles	
eglPF@@@MHdiklbbRfbTfrTTJbtJUCBafe`VSPvqsSUUUTuUUTuU@@@	Eplerenone			non-CNS	414.496	1.9314	-4.061	1.9314	6	0	286.61	0.27346	1.051	30	400 <= x < 425	CC1(C(CC2)C(C(CC(C3(C)CC4)=CC4=O)C(OC)=O)C33OC3C1)C2(CC1)OC1=O	
eg`TBH@C@iECk`@cIEEmEDXhdlhddbiaPxDLmSMKTuUAADt`DGD@	Eprosartan	6.67	3.03	non-CNS	424.520	3.9658	-2.9	-0.20275	6	2	330.65	0.55679	0.81145	30	400 <= x < 425	CCCCc1ncc(/C=C(/Cc2cccs2)\C(O)=O)n1Cc(cc1)ccc1C(O)=O	
fkA@@@YEDeLlhheHmXlhiQghasUTluUUUMUU@pqeM`	Ergocalciferol			non-CNS	396.656	7.6423	-5.927	7.6423	1	1	334.81	0.37377	0.8218	29	375 <= x < 400	CC(C)C(C)/C=C/C(C)C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(CC1)O)/C1=C	
emTzJ@@DFLgaPKGOIlbbbbbRTLTlRVtLRTRbtVbXDdTlBZF^AIYyeEUZjjji`hHZfjBHajJH@@	Ergotamine	7.78		CNS	581.671	2.5846	-3.347	2.0529	10	3	404.26	0.28662	1.071	43	575 <= x < 600	CC(C(N1C(Cc2ccccc2)C(N2C3CCC2)=O)=O)(NC(C(CN(C)C2Cc4c[nH]5)C=C2c2c4c5ccc2)=O)OC13O	
ebsxM@@APFCGJnicglP|bbRbbRbbfVTVTRfbTTbVTvYRbNdUcgUrJnOMKKOOh\Z[UUUUUUUUUUMUUUUUMUUTUBdbblPRbQTZPrvetAbLYWL]Wj@@	Eribulin	9.39		non-CNS	729.904	1.5381	-6.523	-0.45458	12	2	512.69	0.28221	1.0661	52	725 <= x < 750	C[C@H](C[C@H](CC[C@@H](C(C1)=C)O[C@H]1CC[C@](C[C@H]1O[C@@H]23)(O[C@@H]1[C@@H]3O[C@H]1CC3)O[C@H]2[C@H]1OC3CC(C[C@H]12)=O)O[C@@H]3C[C@@H]2O[C@H](C[C@@H](CN)O)C1OC)C3=C	
eghPNH@CKLaiem`HcHhhdlhiDdeEhTebqpEUDdTu@PTEPUQUUPUQIGEEBdt`@	Ertugliflozin		11.98	non-CNS	436.886	1.6887	-3.097	1.6887	7	4	302.46	0.48498	0.95188	30	425 <= x < 450	CCOc1ccc(Cc(cc([C@]([C@@H]([C@H]2O)O)(OC3)O[C@]3(CO)[C@H]2O)cc2)c2Cl)cc1	
fbyHX@hJMxBL\ejs`qSfDxyTfew^fOY{HhmEDdeDhXuUUTts@@@	Erythrityl tetranitrate			non-CNS	302.108	-3.2086	-3.452	-3.2086	16	0	200.7	0.79811	0.65353	20	300 <= x < 325	[O-][N+](OCC(C(CO[N+]([O-])=O)O[N+]([O-])=O)O[N+]([O-])=O)=O	
elzxK@@@pDIMDbfk`RVYS\bbTTTtbRfababRTbfbbcVrefLvQ^am]Zjjjjjjjjjfjjjjjjh@@	Erythromycin	8.38		non-CNS	733.933	1.6719	-3.645	0.64777	14	5	543.7	0.55584	0.98423	51	725 <= x < 750	CCC(C(C)(C(C(C)C(C(C)CC(C)(C(C(C)C(C1C)OC(CC2(C)OC)OC(C)C2O)OC(C2O)OC(C)CC2N(C)C)O)=O)O)O)OC1=O	
fju`P@H`P[rSKlkjvlkSUP@UUUDGD@@	Esmolol	9.67	14.09	non-CNS	295.378	1.5866	-2.344	-0.68232	5	2	245.64	0.66371	0.58006	21	275 <= x < 300	CC(C)NCC(COc1ccc(CCC(OC)=O)cc1)O	
fakqb@BTeCIPABU\jrkJokpSdabtuP@DAUPD@T@@	Esomeprazole			non-CNS	345.422	2.092	-2.721	2.0897	6	1	260.23	0.40336	0.83521	24	325 <= x < 350	Cc1cnc(CS(c2nc(cc(cc3)OC)c3[nH]2)=O)c(C)c1OC	
fjcHB@AJSdDPdrmrlvjtyitRis@DMPTBaD@@	Estazolam			CNS	294.744	2.3861	-6.268	2.3845	4	0	218.15	0.24771	0.85699	21	275 <= x < 300	Clc(cc1)cc(C(c2ccccc2)=NC2)c1-n1c2nnc1	
ek`XLD@LFNC`HaRHRUf][Vum[e\|RrZzfvjij`@jjjjbh@@	Estramustine			non-CNS	440.409	5.4757	-5.835	5.4757	4	1	318.27	0.40501	0.87338	29	425 <= x < 450	CC(CC1)(C(CC2)C(CC3)C1c(cc1)c3cc1OC(N(CCCl)CCCl)=O)C2O	
fjcA`@@YJdrmkZwKtYIUgAS@AUUUUQT@@	Estriol			non-CNS	288.386	3.0245	-3.621	3.024	3	3	205.78	0.20702	0.86692	21	275 <= x < 300	CC(CC1)(C(CC2O)C(CC3)C1c(cc1)c3cc1O)C2O	
fmoYb@B\\GLuFRBHrJIKJJJYIJHsIZcMVbT\x@Jfh`Xjj@hRH@@	Eszopiclone	6.92	8.76	CNS	388.814	0.7142	-1.742	0.59784	9	0	273.92	0.34011	0.90425	27	375 <= x < 400	CN(CC1)CCN1C(OC(c1c(C2=O)nccn1)N2c(cc1)ncc1Cl)=O	
fly@Q@FZCDDPRHRYfy{yodhHbIif`@@	Ethacrynic acid		2.8	non-CNS	303.140	3.1325	-4.168	-1.4706	4	1	218.48	0.53645	0.77872	19	300 <= x < 325	CCC(C(c(c(Cl)c1Cl)ccc1OCC(O)=O)=O)=C	
dgmD@LDCRVUuejjjj`@	Ethambutol	9.55		non-CNS	204.313	-0.3822	-0.836	-2.537	4	4	181.2	0.77479	0.45134	14	200 <= x < 225	CCC(CO)NCCNC(CC)CO	
ffu``@L@Xdm[jjjjkUUUSUUTDDPM@	Ethanolamine oleate	7.8		non-CNS	311.508	4.8907	-4.063	4.3477	3	2	289.72	0.70938	0.47083	22	300 <= x < 325	CCCCCCCC/C=C/CCCCCCC(CO)(C=O)N	
diDH`BBHRUkYjncJHb@	Ethchlorvynol			CNS	144.600	1.2579	-2.175	1.2579	1	1	122.01	0.61709	0.67701	9	125 <= x < 150	CCC(/C=C/Cl)(C#C)O	
dcND@LADf^e]]Zjnj@@	Ethinamate			non-CNS	167.207	0.9809	-2.857	0.9809	3	1	139.29	0.44506	0.57233	12	150 <= x < 175	C#CC1(CCCCC1)OC(N)=O	
dmu@`DD@cHihdh^Eh@J@@	Ethionamide	5		non-CNS	166.247	1.2574	-1.367	1.2557	2	1	139.27	0.53094	0.65917	11	150 <= x < 175	CCc1nccc(C(N)=S)c1	
deVD@D@TfVgJfjijLh@	Ethosuximide			CNS	141.169	0.3253	-1.426	0.3251	3	1	109.41	0.34229	0.7167	10	125 <= x < 150	CCC(C)(CC(N1)=O)C1=O	
foAP`@DXAsHhhddXdbLlyjih@H`p`@	Ethotoin			CNS	204.228	1.0597	-1.79	1.0596	4	1	155.54	0.425	0.70389	15	200 <= x < 225	CCN(C(C(c1ccccc1)N1)=O)C1=O	
fjcA@@@YEHiDdkLeLePVc^CdmUUUUUMUP@@	Ethylestrenol			non-CNS	288.473	4.6255	-4.611	4.6255	1	1	223.5	0.30586	0.85699	21	275 <= x < 300	CCC(CC1)(C(C)(CC2)C1C(CC1)C2C2C1=CCCC2)O	
fc@P@@HFoHhmHeHlcLeLediHsoIrwkUUuUUUMTuT@@	Ethynodiol diacetate			non-CNS	384.514	3.9091	-5.086	3.9091	4	0	293.7	0.29826	0.90271	28	375 <= x < 400	CC(CC1)(C(CC2)C(CC3)C1C(CC1)C3=CC1OC(C)=O)C2(C#C)OC(C)=O	
dmTNPHSFFUCpkprRRrJQjjZ@@	Etidronate		0.7	non-CNS	206.027	-7.0768	1.568	-13.781	7	5	115.46	0.62106	0.75684	11	200 <= x < 225	CC(O)(P(O)(O)=O)P(O)(O)=O	
fnkHA@N^bTDPxHRYeg[Y]UYJwgARVBAbZiZjJP@@	Etizolam			CNS	342.853	3.5967	-7.111	3.5959	4	0	252.37	0.27849	0.9255	23	325 <= x < 350	CCc1cc(C(c(cccc2)c2Cl)=NCc2nnc(C)n2-2)c2s1	
fa{@`@@ErJIJYJZKIQJHtYKSoQrtuUSUUU]T@@	Etonogestrel			non-CNS	324.462	3.7811	-4.65	3.7811	2	1	248.03	0.28406	0.93319	24	300 <= x < 325	CCC(C1)(C(CC2)C(CCC(C3CC4)=CC4=O)C3C1=C)C2(C#C)O	
eePpK@@@DGJfaimghZV^\bbTtRbbRRRRbTRRRT|rVqCDb`QRWVqrNOHkUUPA@DTUUUUUUTEP@@	Etoposide			non-CNS	588.560	0.6726	-3.952	0.66753	13	3	395.38	0.35756	1.0119	42	575 <= x < 600	CC(OCC1OC(C2O)OC(C(CO3)C(C4c(cc5OC)cc(OC)c5O)C3=O)c3c4cc4OCOc4c3)OC1C2O	
fakPa@B^jtDQdHRYUVYU_VjL]DJX@J@@@JV@@@	Etoricoxib			non-CNS	358.848	3.0731	-5.411	3.0715	4	0	258.82	0.42968	0.807	24	350 <= x < 375	Cc(cc1)ncc1-c(c(-c(cc1)ccc1S(C)(=O)=O)c1)ncc1Cl	
fleQb@LTtZp@cIEEDeEhdUlL}FijjVjjhHhaa@	Etozoline			non-CNS	284.379	2.066	-1.512	2.0622	5	0	214.38	0.37027	0.74806	19	275 <= x < 300	CCOC(/C=C(/N(C)C1=O)\SC1N1CCCCC1)=O	
fcoYB@JLxX^r@qLbbbbQbTTRlRRQSI^Sv\DE@QE@PYX@@@	Etravirine			non-CNS	435.284	4.5016	-8.952	4.5014	7	2	306.85	0.43778	0.7971	28	425 <= x < 450	Cc1cc(C#N)cc(C)c1Oc(nc(Nc(cc1)ccc1C#N)nc1N)c1Br	
fekA`@@HGdTRRfrTVTTTTnJujZfZXBHj@DIBeUh	Etretinate			non-CNS	354.488	6.4524	-4.661	6.4524	3	0	313.01	0.40932	0.73369	26	350 <= x < 375	CCOC(/C=C(\C)/C=C/C=C(\C)/C=C/c(c(C)c1)c(C)c(C)c1OC)=O	
ffs@`@@URYVymunVgEF|EIVeijjjjZh@@	Exemestane			non-CNS	296.409	3.6076	-3.947	3.6076	2	0	220.6	0.25439	0.89747	22	275 <= x < 300	CC(CC1)(C(CC2)C(CC3=C)C1C(C)(C=C1)C3=CC1=O)C2=O	
eghXLD@NEJn`IBzPRYWYgYU^^uzFIMDbmch@JfhHHj@BH@@@	Ezetimibe			non-CNS	409.431	4.1644	-4.763	4.1608	4	2	297.75	0.44037	0.84401	30	400 <= x < 425	OC(CCC(C(c(cc1)ccc1O)N1c(cc2)ccc2F)C1=O)c(cc1)ccc1F	
ff}pb@ANBgHICHhdldhdhTieQeoP@U@DTu@@@	Ezogabine			CNS	303.336	2.4614	-4.346	2.4612	5	3	238.34	0.53905	0.68273	22	300 <= x < 325	CCOC(Nc(ccc(NCc(cc1)ccc1F)c1)c1N)=O	
dcmH@DHDfY{TfWVj`@P@@	Edaravone		7.83	CNS	160.176	1.5578	-1.829	1.5578	3	0	126.33	0.42727	0.63444	12	150 <= x < 175	O=C1N(c2ccccc2)N=CC1	
fjcQ@DEI@fTfUnV^uvgIJlyNX@`H`HBH@@@	Elliptinium acetate		9.65	non-CNS	277.346	-0.3721	-4.508	-0.37453	3	2	207.06	0	0.93215	21	275 <= x < 300	Cc1c(c(cc(cc2)O)c2[nH]2)c2c(C)c2cc[n+](C)cc12	
fikQP@BZ@bPXyEMEDiXmEDUDepWQmUTuUMP@QcDUKH@	Enalaprilat	7.83	3.13	non-CNS	348.398	-0.8587	-2.049	-5.1258	7	3	266.03	0.62549	0.76113	25	325 <= x < 350	C[C@@H](C(N(CCC1)[C@@H]1C(O)=O)=O)N[C@@H](CCc1ccccc1)C(O)=O	
fleQP@DX@ITTyEEDeDdmDbsakMUMMUUT@@	Epervudine		9.95	non-CNS	270.284	-0.5782	-1.544	-0.57943	7	3	193.21	0.44988	0.8085	19	250 <= x < 275	CC(C)C(C(N1)=O)=CN(C(C2)OC(CO)C2O)C1=O	
fb}@`@@YrJJQIFYIIKDyKUgQRuUTuPATFDHdt`@	Equilin		9.41	non-CNS	268.355	3.9158	-3.807	3.9116	2	1	198.04	0.13065	0.90168	20	250 <= x < 275	C[C@](CC[C@@H]12)([C@@H](CC3)C2=CCc2c1ccc(O)c2)C3=O	
ehRVD@@IDlngo`NLdTrTRttRRTrRbefVXDbJzv^~h@bjBBBBhehB@@@	Erdafitinib	9.7200003		non-CNS	446.553	1.524	-4.522	-0.79609	8	1	355.94	0.4994	0.88197	33	425 <= x < 450	CC(C)NCCN(c1cc2nc(-c3cn(C)nc3)cnc2cc1)c1cc(OC)cc(OC)c1	
ffcPB@NA@DYHhhhddmcELj\e[Sj@H@`jjhH^H@@	Ethopropazine	9.6		CNS	312.480	4.7184	-4.773	2.5148	2	0	248.17	0.42196	0.82089	22	300 <= x < 325	CCN(CC)C(C)CN1c(cccc2)c2Sc2c1cccc2	
fj}a`@I@QSHieHeDdbeEeFlzNVjjfj@b``R`@	Etodolac		4.73	CNS	287.358	2.9812	-3.529	0.30721	4	2	221.76	0.38643	0.91337	21	275 <= x < 300	CCC1(CC(O)=O)OCCc2c1[nH]c1c2cccc1CC	
fnchP@MASUhDBMdTVTRRTTLRVdTejuUUSTBAP@@	Famciclovir			non-CNS	321.336	0.3028	-2.189	0.30087	9	1	249.42	0.58802	0.76987	23	300 <= x < 325	CC(OCC(CCn1c2nc(N)ncc2nc1)COC(C)=O)=O	
fbexc@LDXXJ\pP@HdD^BLddNfRRbRrcoKSUUKSTBAD	Famotidine	8.45		non-CNS	337.452	-1.113	-3.557	-2.1353	9	4	235.33	0.66985	0.62054	20	325 <= x < 350	N/C(/CCSCc1csc(N=C(N)N)n1)=N\S(N)(=O)=O	
fhqPP@LA@aWdf]fUWcNZj``a`@@	Felbamate			CNS	238.242	0.7174	-2.819	0.7174	6	2	185.82	0.50774	0.58251	17	225 <= x < 250	NC(OCC(COC(N)=O)c1ccccc1)=O	
f`i`@@@YHheEMDUnBdYwjjj``J@@@	Fencamfamine	10.56		non-CNS	215.339	3.2077	-3.412	0.044259	1	1	175.02	0.37798	0.73284	16	200 <= x < 225	CCNC(C1CC2CC1)C2c1ccccc1	
f`a`C@C@dDRFICHiCDeBhlJUT@EUQCQ@@	Fenfluramine	10.22		CNS	231.260	3.06	-3.06	0.24392	1	1	178.72	0.66094	0.655	16	225 <= x < 250	CCNC(C)Cc1cccc(C(F)(F)F)c1	
fik@R@A^KTDQdTRVTtRVRdTjeFV]@AL@EUMT@@@	Fenofibrate			non-CNS	360.836	4.389	-5.538	4.389	4	0	275.89	0.6281	0.71389	25	350 <= x < 375	CC(C)OC(C(C)(C)Oc(cc1)ccc1C(c(cc1)ccc1Cl)=O)=O	
fj}ab@GDDTDQdTTTtRLRaRsIV\gLDEEU@ADPUP@	Fenoldopam	10.06	8.12	non-CNS	305.760	2.3636	-2.95	-0.64155	4	4	219.23	0.30218	0.84632	21	300 <= x < 325	Oc1ccc(C(CNCC2)c(cc3O)c2c(Cl)c3O)cc1	
fi{Q@@DAAdTTRbfRRqRTRQoNCt[UPTEET@A@@@	Fentanyl	8.77		CNS	336.477	4.4164	-3.826	3.0305	3	0	278.95	0.52885	0.69646	25	325 <= x < 350	CCC(N(C1CCN(CCc2ccccc2)CC1)c1ccccc1)=O	
eb^^HH@DEMO`T\Y@@cHhhcEEMBdhddbhheEeiXtL}BcbuUKUUPPQA@qRB@@@	Fimasartan		5.85	non-CNS	501.657	4.0607	-6.96	0.8931	8	1	399.92	0.53157	0.90194	36	500 <= x < 525	CCCCC(N1Cc(cc2)ccc2-c(cccc2)c2-c2nnn[nH]2)=NC(C)=C(CC(N(C)C)=S)C1=O	
fmoP`@DMAWHhdiheBeMDcLiJLUiwhyZfjjjjijjj@@	Finasteride			non-CNS	372.551	3.1604	-4.433	3.1604	4	2	282.01	0.36262	0.90322	27	350 <= x < 375	CC(C)(C)NC(C(CC1)C(C)(CC2)C1C(CCC1N3)C2C1(C)C=CC3=O)=O	
ek`XB@@N`A@hlbbbbbQfbfVVrbRXDTlrjvNZAhJ@XHjjhH@@	Flavoxate	7.29		non-CNS	391.466	4.5588	-4.388	4.3081	5	0	303.32	0.39165	0.88492	29	375 <= x < 400	CC1=C(c2ccccc2)Oc(c(C(OCCN2CCCCC2)=O)ccc2)c2C1=O	
fcwQa`KYhXHIADabPGHSdErFQREJJIQEIJIIRKSn{jjBAbjjjjJDZ@@	Flecainide	9.62		non-CNS	414.345	3.2379	-4.556	1.0187	5	2	288.17	0.53159	0.77499	28	400 <= x < 425	O=C(c(cc(cc1)OCC(F)(F)F)c1OCC(F)(F)F)NCC1NCCCC1	
fegqc@BLKd\pRBiAladTTTTTTRQRVVTyitPe`bJbjfZib`@@	Fleroxacin	5.99	5.32	non-CNS	369.342	-0.3848	-2.883	-2.3481	6	1	257.59	0.34771	0.92104	26	350 <= x < 375	CN(CC1)CCN1c(c(F)cc1c2N(CCF)C=C(C(O)=O)C1=O)c2F	
fhiQR@JLIIW``dDfYu[UV\MZejfjjh@@	Floxuridine		8.08	non-CNS	246.193	-1.4898	-1.503	-1.6735	7	3	162.54	0.41486	0.78821	17	225 <= x < 250	OCC(C(C1)O)OC1N(C=C(C(N1)=O)F)C1=O	
egh\JL@I@jmOBck`HcbPZBLbbbTTjfTJbbrRbc@fafUWPtADMMMTuUSEP@@	Flucloxacillin		3.75	non-CNS	453.877	2.8046	-4.365	-0.84796	8	2	299.78	0.41397	0.96208	30	450 <= x < 475	CC(C)(C1C(O)=O)SC(C2NC(c3c(C)onc3-c(c(F)ccc3)c3Cl)=O)N1C2=O	
fakiq@CARwlDXIqU`^EYCIILUDhlihdmEKTTeZuUUUTBDU@@@	Fludarabine		1.22	non-CNS	365.213	-4.6835	-1.33	-10.742	12	5	227.64	0.4508	0.90271	24	350 <= x < 375	Nc1c2ncn(C(C3O)OC(COP(O)(O)=O)C3O)c2nc(F)n1	
ffcqb@IJBINPRFQQISQZJEKSJgMV|F@HZjefhh@@	Flumazenil			CNS	303.292	0.9739	-4.403	0.97387	6	0	221.67	0.1973	0.91193	22	300 <= x < 325	CCOC(c(nc1)c(CN2C)n1-c(ccc(F)c1)c1C2=O)=O	
eghT@D@AD`IBjPRYWYfUWuueZFODhlckh@JjB`bi`@H@HFh	Flunarizine	7.22		CNS	404.502	5.4576	-4.427	5.0461	2	0	320.38	0.40421	0.75761	30	400 <= x < 425	Fc1ccc(C(c(cc2)ccc2F)N2CCN(C/C=C/c3ccccc3)CC2)cc1	
fiwAP@@HCt^QQJJIJJKQIGYDhku`ijUkTE@@D@ATP@@@	Fluorescein			non-CNS	332.310	3.7285	-4.271	3.7082	5	2	226.64	0.095201	0.9148	25	325 <= x < 350	Oc1cc(Oc2c(C3(c4c5cccc4)OC5=O)ccc(O)c2)c3cc1	
ff}aC@LjAHHdLRFQRFIKIQQIIXTdej`@j``bBFj@@	Fluoxetine	9.8		CNS	309.330	3.6241	-3.561	1.2192	2	1	236.22	0.47979	0.67908	22	300 <= x < 325	CNCCC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1	
ff}Hb@AJ\ENPRFQQIYIQIPiSJcK^`@j@Hij@@@	Flupirtine	7.5		CNS	304.324	2.1633	-4.601	1.8082	6	3	237.1	0.48038	0.71581	22	300 <= x < 325	CCOC(Nc(cc1)c(N)nc1NCc(cc1)ccc1F)=O	
fmwqA@AJ[dDPFPrJIJZIJJZIKGQJgMNSV@HZ`jAbjb@@@	Flurazepam	8.71		CNS	387.885	3.5978	-5.009	2.2667	4	0	295.93	0.43474	0.87083	27	375 <= x < 400	CCN(CC)CCN(c(ccc(Cl)c1)c1C(c(cccc1)c1F)=NC1)C1=O	
fdy@b@@qAHILrrkssIF}A@AAPpPUP@	Flurbiprofen		4.42	CNS	244.264	3.3303	-4.362	0.3516	2	1	188.23	0.48671	0.7177	18	225 <= x < 250	CC(C(O)=O)c(cc1)cc(F)c1-c1ccccc1	
el^\HD@Hakc`IAJPrJIKJJIIKISIZJJJUJaapIkkZzEF@BhHHjjji`@B`@@	Fluspirilene	9.31		CNS	475.581	5.5386	-5.842	3.6212	4	1	361.28	0.47808	0.86659	35	475 <= x < 500	O=C(C12CCN(CCCC(c(cc3)ccc3F)c(cc3)ccc3F)CC2)NCN1c1ccccc1	
fa{QA@AJrBHCHYEDeMDeEMDecJ\tyMV}`BFhJ`Xhb@@	Flutoprazepam			CNS	342.800	3.8098	-5.802	3.8098	3	0	246.35	0.28514	0.87527	24	325 <= x < 350	O=C1N(CC2CC2)c(ccc(Cl)c2)c2C(c(cccc2)c2F)=NC1	
eg`XBH@CFick`ICHhdlhhhddmEYeLiPphYxe@AREAIUUTq@D@T@	Fluvastatin		4.54	non-CNS	411.471	3.9775	-4.813	1.1339	5	3	316.01	0.49357	0.89985	30	400 <= x < 425	CC(C)n1c(cccc2)c2c(-c(cc2)ccc2F)c1/C=C/C(CC(CC(O)=O)O)O	
ffmPc@MYlTD`bPqHYEHXdlhdddeaRj`@fjjj@PU@	Fluvoxamine	8.86		CNS	318.338	3.15	-3.757	1.3795	4	1	249.03	0.60846	0.68031	22	300 <= x < 325	COCCCC/C(/c1ccc(C(F)(F)F)cc1)=N\OCCN	
gFt@ADi_FZd@	Fomepizole			non-CNS	82.1056	-0.1029	-0.533	-0.1029	2	1	73.85	0	0.69315	6	75 <= x < 100	Cc1c[nH]nc1	
fcoqb@NRsYNpQFQQQJKZJHqQKQYY`jcWn@bJihFBbhH@@	Fominoben	5.55	15.49	non-CNS	401.893	2.3552	-2.85	2.3479	6	1	307.32	0.56522	0.77373	28	400 <= x < 425	CN(CC(N1CCOCC1)=O)Cc(c(NC(c1ccccc1)=O)ccc1)c1Cl	
eodQ@@@@KGOHlbfldTRbRbrbtRrarRRhDLBrJjZB@B`iJYZjjB`@@	Forasartan		5.8	non-CNS	416.531	4.087	-4.469	3.7597	8	1	344.71	0.53346	0.86921	31	400 <= x < 425	CCCCc1nc(CCCC)nn1Cc(cc1)cnc1-c(cccc1)c1-c1n[nH]nn1	
ffsA`@@DkdTTVfbTJTtRYsQoARUjZjjjjfj@@	Formestane			non-CNS	302.412	3.1401	-4.043	3.1334	3	1	217.19	0.26832	0.88894	22	300 <= x < 325	CC(CC1)(C(CC2)C(CC3)C1C(C)(CCC1=O)C3=C1O)C2=O	
fikPP@DV@sWTeYg^uge]EJkV``Jjj@B`@@	Formoterol	9.81	8.61	non-CNS	344.410	1.5007	-3.102	-0.91252	6	4	275.22	0.60016	0.7268	25	325 <= x < 350	CC(Cc(cc1)ccc1OC)NCC(c(cc1)cc(NC=O)c1O)O	
enY\ID@LLjhDKFnamcjP@aKprRPqQIIQQYPjQIqSIJKHrJDfeeZhJBjJijfBBb``@@	Fosamprenavir		1.25	non-CNS	585.613	-0.9872	-2.162	-7.1645	12	4	419.68	0.57533	0.84166	39	575 <= x < 600	CC(C)CN(CC(C(Cc1ccccc1)NC(OC1COCC1)=O)OP(O)(O)=O)S(c(cc1)ccc1N)(=O)=O	
daDB`HSJCprRRsTsUU@@	Fosfomycin		1.25	non-CNS	138.059	-2.8214	0.188	-8.9709	4	2	91.38	0.59911	0.77276	8	125 <= x < 150	CC1OC1P(O)(O)=O	
enYXNH@MHDAELem`OCIILdhhdiheCDlieKDdefndZRVVjjfjjfjihJBbb@@@	Fosinopril		3.87	non-CNS	563.669	5.3486	-4.016	1.8186	8	1	438.09	0.60478	0.83144	39	550 <= x < 575	CCC(OC(C(C)C)OP(CCCCc1ccccc1)(CC(N(CC(C1)C2CCCCC2)C1C(O)=O)=O)=O)=O	
fi{Pr@FJ`cAIZAxYIIbhhiXhhddlhq^mFuUSMP@@A@@@	Fosphenytoin		1.46	CNS	362.277	-1.8214	-1.521	-7.7607	8	3	247.42	0.47335	0.80949	25	350 <= x < 375	OP(O)(OCN(C(C(c1ccccc1)(c1ccccc1)N1)=O)C1=O)=O	
ea]VID@FIDjemhDLBMGH\ZPO@ZPrRSEQQQJZJOQJJUQIQIKFN^YSK@hmUTCDUDAAPAEUP@@@	Fostamatinib	1.05	1.67	non-CNS	580.464	-0.9419	-4.598	-5.2511	15	4	404.82	0.43206	0.93298	40	575 <= x < 600	CC1(C)Oc2ccc(Nc3nc(Nc(cc4OC)cc(OC)c4OC)ncc3F)nc2N(COP(O)(O)=O)C1=O	
ee[VK@@AMHalYPLEGOBfekg`^Q\dTTRbRfLTrafRfrVbTTrUDbUTvqMMUUUUUUUUUUUUUUP@@	Framycetin	9.74		non-CNS	614.647	-9.5965	0.16	-12.168	19	13	407.61	0.5118	0.97335	42	600 <= x < 625	NCC(C(C(C1N)O)O)OC1OC(C(CO)OC1OC(C(C(CC2N)N)O)C2OC(C(C2O)N)OC(CN)C2O)C1O	
fdeq@@DJBAInUmmWxIVg^Z@BfjhjCj@@	Frovatriptan	10.42		CNS	243.309	1.0987	-2.939	-1.923	4	3	187.7	0.25881	0.86049	18	225 <= x < 250	CNC(CC1)Cc2c1[nH]c(cc1)c2cc1C(N)=O	
eiSPLF@HNQP@aRPtdGICrPBdLdfRRRdQdURRbbTTRRbRqVvnaQIiYZjjjjjjjjjBjBb`@@	Fulvestrant			non-CNS	606.778	8.6163	-7.862	8.6158	3	2	439.84	0.54968	0.90374	41	600 <= x < 625	CC(CC1)(C(CC2)C(C(CCCCCCCCCS(CCCC(C(F)(F)F)(F)F)=O)C3)C1c(cc1)c3cc1O)C2O	
f`qqPBHRTAAKNaJNR[e]YegG^ZfijZXDAP	Furazolidone			non-CNS	225.160	0.1235	-3.174	0.1235	8	0	163.45	0.4062	0.63962	16	225 <= x < 250	[O-][N+](c1ccc(/C=N/N(CCO2)C2=O)o1)=O	
fjmQQ@IZxIwh`bBAFQQQJQJiQFILUdlDBqTuMB@@	Furosemide		4.25	non-CNS	330.747	0.7685	-3.329	-2.3803	7	3	224.55	0.50513	0.80188	21	325 <= x < 350	NS(c(cc(C(O)=O)c(NCc1ccco1)c1)c1Cl)(=O)=O	
ejQPF@@@DMFnbRaHrDaDaHQHQLRHqHRDPXcDrLdLBrNnaQZZjjjijfjjjjj`HLD	Fusidic acid		4.46	non-CNS	516.716	5.823	-5.363	3.0865	6	3	386.31	0.40011	0.98277	37	500 <= x < 525	CC(C(CC1)C(C)(CC2)C(C(C3)O)C1(C)C(C)(CC1OC(C)=O)C3/C1=C(/CCC=C(C)C)\C(O)=O)C2O	
ff}Qb@LAUjH@cIEEMDheYedibeoTsALD]UP@@	Febuxostat	0.39	3.08	non-CNS	316.380	3.1245	-3.955	-1.1972	5	1	246.57	0.37443	0.77499	22	300 <= x < 325	CC(C)COc(ccc(-c1nc(C)c(C(O)=O)s1)c1)c1C#N	
fdyA`@@HTdwMk_JrtFKU@DP@ACA@@	Fenoprofen		3.96	CNS	242.273	2.9659	-4.259	-0.47528	3	1	191.88	0.60265	0.65788	18	225 <= x < 250	CC(C(O)=O)c1cc(Oc2ccccc2)ccc1	
eghTHL@CDa@HaRHzBLbbbRbrrbbRQrTRSGBVUSQutAAUUPJAP@DDEA@@	Fenticonazole nitrate	6.48		non-CNS	455.408	5.4595	-5.395	5.3685	3	0	338.85	0.47084	0.78472	30	450 <= x < 475	Clc1cc(Cl)c(C(Cn2cncc2)OCc(cc2)ccc2Sc2ccccc2)cc1	
fga`@F`QgHheECDeLhddmihihu^mU@PUAPQUTDET@@	Fesoterodine	1.64		CNS	411.584	5.2879	-4.631	2.0508	4	1	342.26	0.49877	0.79818	30	400 <= x < 425	CC(C)C(Oc1c(C(CCN(C(C)C)C(C)C)c2ccccc2)cc(CO)cc1)=O	
